transdate,cst_dim_id,monthly_os_changes,monthly_phone_model_changes,last_phone_model_categorical,last_os_categorical,logins_last_7_days,logins_last_30_days,login_frequency_7d,login_frequency_30d,freq_change_7d_vs_mean,logins_7d_over_30d_ratio,avg_login_interval_30d,std_login_interval_30d,var_login_interval_30d,ewm_login_interval_7d,burstiness_login_interval,fano_factor_login_interval,zscore_avg_login_interval_7d
'2025-05-08 00:00:00.000',2933793914.0,1,2,Samsung_sm-a165f,Android/14,20,66,2.857142857142857,02.фев,0.29870129870129863,0.303030303030303,36655.32467532468,68317.41188984994,4667268767.32741,60262.92895774829,0.3016220044417644,127328.534358046,-0.1499280024379712
'2025-05-05 00:00:00.000',2933793914.0,1,2,Samsung_sm-a165f,Android/14,19,67,2.7142857142857144,2.2333333333333334,0.21535181236673775,0.2835820895522388,40425.633802816905,75219.72554233353,5658007110.663984,9939.791250004797,0.300868897260906,139960.87577159342,-0.1287645459084511
'2025-03-08 00:00:00.000',2933793914.0,1,1,Samsung SM-A325F,Android/13,9,27,1.2857142857142858,0.9,0.42857142857142866,0.3333333333333333,79392.0,161208.10227777014,25988052240,3192.805627977252,0.3400501558528614,327338.42503022973,-0.0744658601545697
'2025-01-28 00:00:00.000',2933793914.0,1,1,Samsung SM-A325F,Android/13,2,5,0.2857142857142857,0.16666666666666666,0.7142857142857143,0.4,616905.0,840636.1724908106,"7,07E+11",255060.0,0.1534990412027082,1145507.289615095,-0.4304418627714423
'2025-02-04 00:00:00.000',2933793914.0,2,2,Samsung SM-A325F,Android/13,20,24,2.857142857142857,0.8,2.571428571428571,0.8333333333333334,53830.434782608696,92165.63663901584,8494504577.075099,4256.348789793283,0.2625769411678089,157801.15117739057,-0.2854576077424108
'2025-04-18 00:00:00.000',2933793914.0,3,4,Samsung SM-A165F,Android/14,17,47,2.4285714285714284,1.5666666666666667,0.5501519756838905,0.3617021276595745,58874.69387755102,118913.64231908732,14140454329.591837,12758.346500536549,0.3376990286648035,240178.81704831432,-0.2152271461744882
'2025-05-12 00:00:00.000',2933793914.0,1,2,Samsung_sm-a165f,Android/14,16,70,2.2857142857142856,2.3333333333333335,-0.02040816326530624,0.2285714285714285,36054.16666666666,66698.37512538215,4448673244.366198,1227.0811455628082,0.2982330940360913,123388.60264045851,-0.105582282228443
'2024-12-29 00:00:00.000',2933793914.0,1,1,Samsung SM-A325F,Android/13,1,17,0.1428571428571428,0.5666666666666667,-0.7478991596638656,0.0588235294117647,101925.0,137482.65968129755,18901481713.04348,-1.0,0.148523483871119,185445.0008638065,-1.0
'2025-04-17 00:00:00.000',2933793914.0,3,4,Samsung_sm-a165f,Android/14,7,36,1.0,01.фев,-0.16666666666666663,0.1944444444444444,68370.0,128009.02415402152,16386310264.864864,67275.38489558888,0.3036934540791189,239671.05843008432,-0.0877281900570382
'2025-05-10 00:00:00.000',2933793914.0,1,2,Samsung_sm-a165f,Android/14,14,67,2.0,2.2333333333333334,-0.10447761194029853,0.208955223880597,36136.57894736842,67599.3438538695,4569671289.473684,67344.87062056847,0.3032967178282587,126455.5589539685,-0.1715486909523399
